date,valid
2017-03-28,14.8006
2017-03-29,10.902
2017-03-30,11.865
2017-03-31,11.6131
2017-04-01,16.4695
2017-04-02,6.56373
2017-04-03,11.6042
2017-04-04,12.5546
2017-04-05,19.4345
2017-04-06,19.9423
2017-04-07,5.61868
2017-04-08,9.84302
2017-04-09,10.373
2017-04-10,13.8423
2017-04-11,18.2847
2017-04-12,21.2998
2017-04-13,21.1559
2017-04-14,15.9507
2017-04-15,14.841
2017-04-16,18.6207
2017-04-17,17.7764
2017-04-18,20.6279
2017-04-19,23.9085
2017-04-20,7.84357
2017-04-21,8.67563
2017-04-22,11.1849
2017-04-23,21.0009
2017-04-24,23.1903
2017-04-25,22.4164
2017-04-26,17.2154
2017-04-27,17.7705
2017-04-28,21.9264
2017-04-29,26.3617
2017-04-30,28.6462
2017-05-01,27.0
2017-05-02,29.0
2017-05-03,13.0
2017-05-04,26.0
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,20.0
2017-05-10,37.0
2017-05-11,16.0
2017-05-12,17.0
2017-05-13,16.0
2017-05-14,20.0
2017-05-15,24.0
2017-05-16,46.0
2017-05-17,37.0
2017-05-18,25.0
2017-05-19,27.0
2017-05-20,27.0
2017-05-21,37.0
2017-05-22,20.0
2017-05-23,39.0
2017-05-24,37.0
2017-05-25,40.0
2017-05-26,41.0
2017-05-27,50.0
2017-05-28,65.0
2017-05-29,53.0
2017-05-30,54.0
2017-05-31,50.0
2017-06-01,41.0
2017-06-02,47.0
2017-06-03,51.0
2017-06-04,29.0
2017-06-05,23.0
2017-06-06,39.0
2017-06-07,63.0
2017-06-08,28.0
2017-06-09,25.0
2017-06-10,21.0
2017-06-11,37.0
2017-06-12,34.0
2017-06-13,82.0
2017-06-14,78.0
2017-06-15,52.0
2017-06-16,14.0
2017-06-17,39.0
2017-06-18,28.0
2017-06-19,39.0
2017-06-20,61.0
2017-06-21,57.0
2017-06-22,37.0
2017-06-23,38.0
2017-06-24,50.0
2017-06-25,43.0
2017-06-26,19.0
2017-06-27,18.0
2017-06-28,15.0
2017-06-29,19.0
2017-06-30,30.0
2017-07-01,49.0
2017-07-02,57.0
2017-07-03,36.0
2017-07-04,35.0
2017-07-05,50.0
2017-07-06,60.0
2017-07-07,37.0
2017-07-08,63.0
2017-07-09,46.0
2017-07-10,21.0
2017-07-11,49.0
2017-07-12,79.0
2017-07-13,35.0
2017-07-14,35.0
2017-07-15,
2017-07-16,
2017-07-17,31.0
2017-07-18,40.0
2017-07-19,37.0
2017-07-20,33.0
2017-07-21,41.0
2017-07-22,41.0
2017-07-23,26.0
2017-07-24,18.0
2017-07-25,39.0
2017-07-26,25.0
2017-07-27,44.0
2017-07-28,33.0
2017-07-29,18.0
2017-07-30,34.0
2017-07-31,47.0
2017-08-01,80.0
2017-08-02,56.0
2017-08-03,70.0
2017-08-04,72.0
2017-08-05,68.0
2017-08-06,57.0
2017-08-07,39.0
2017-08-08,57.0
2017-08-09,26.0
2017-08-10,12.0
2017-08-11,22.0
2017-08-12,37.0
2017-08-13,26.0
2017-08-14,43.0
2017-08-15,17.0
2017-08-16,31.0
2017-08-17,37.0
2017-08-18,31.0
2017-08-19,24.0
2017-08-20,19.0
2017-08-21,43.0
2017-08-22,23.0
2017-08-23,19.0
2017-08-24,27.0
2017-08-25,40.0
2017-08-26,65.0
2017-08-27,29.0
2017-08-28,20.0
2017-08-29,15.0
2017-08-30,24.0
2017-08-31,29.0
2017-09-01,14.0
2017-09-02,11.0
2017-09-03,18.0
2017-09-04,20.0
2017-09-05,26.0
2017-09-06,21.0
2017-09-07,13.0
2017-09-08,13.0
2017-09-09,37.0
2017-09-10,27.0
2017-09-11,44.0
2017-09-12,30.0
2017-09-13,14.0
2017-09-14,
2017-09-15,
2017-09-16,30.0
2017-09-17,23.0
2017-09-18,18.0
2017-09-19,10.0
2017-09-20,9.0
2017-09-21,10.0
2017-09-22,19.0
2017-09-23,15.0
2017-09-24,8.0
2017-09-25,17.0
2017-09-26,18.0
2017-09-27,24.0
2017-09-28,17.0
2017-09-29,26.0
2017-09-30,14.0
2017-10-01,9.0
2017-10-02,13.0
2017-10-03,14.0
2017-10-04,9.0
2017-10-05,7.0
2017-10-06,9.0
2017-10-07,9.0
2017-10-08,6.0
2017-10-09,6.0
2017-10-10,7.0
2017-10-11,11.0
2017-10-12,9.0
2017-10-13,10.0
2017-10-14,13.0
2017-10-15,14.0
2017-10-16,8.0
2017-10-17,9.0
2017-10-18,6.0
2017-10-19,8.0
2017-10-20,12.0
2017-10-21,9.0
2017-10-22,8.0
2017-10-23,6.0
2017-10-24,7.0
2017-10-25,8.0
2017-10-26,8.0
2017-10-27,8.0
2017-10-28,3.0
2017-10-29,4.0
2017-10-30,6.0
2017-10-31,6.0
2017-11-01,10.0
2017-11-02,7.0
2017-11-03,8.0
2017-11-04,9.0
2017-11-05,6.0
2017-11-06,7.0
2017-11-07,8.0
2017-11-08,8.0
2017-11-09,6.0
2017-11-10,8.0
2017-11-11,7.0
2017-11-12,7.0
2017-11-13,7.0
2017-11-14,8.0
2017-11-15,5.0
2017-11-16,5.0
2017-11-17,5.0
2017-11-18,7.0
2017-11-19,6.0
2017-11-20,7.0
2017-11-21,8.0
2017-11-22,7.0
2017-11-23,8.0
2017-11-24,9.0
2017-11-25,10.0
2017-11-26,9.0
2017-11-27,
2017-11-28,
2017-11-29,10.0
2017-11-30,13.0
2017-12-01,12.0
2017-12-02,12.0
2017-12-03,8.0
2017-12-04,9.0
2017-12-05,10.0
2017-12-06,9.0
2017-12-07,10.0
2017-12-08,10.0
2017-12-09,8.0
2017-12-10,7.0
2017-12-11,12.0
2017-12-12,6.0
2017-12-13,5.0
2017-12-14,7.0
2017-12-15,5.0
2017-12-16,4.0
2017-12-17,5.0
2017-12-18,6.0
2017-12-19,7.0
2017-12-20,8.0
2017-12-21,7.0
2017-12-22,7.0
2017-12-23,5.0
2017-12-24,7.0
2017-12-25,5.0
2017-12-26,4.0
2017-12-27,4.0
2017-12-28,5.0
2017-12-29,5.0
2017-12-30,5.0
2017-12-31,9.0
2018-01-01,8.0
2018-01-02,7.0
2018-01-03,5.0
2018-01-04,3.0
2018-01-05,6.0
2018-01-06,6.0
2018-01-07,7.0
2018-01-08,9.0
2018-01-09,10.0
2018-01-10,10.0
2018-01-11,9.0
2018-01-12,8.0
2018-01-13,8.0
2018-01-14,8.0
2018-01-15,5.0
2018-01-16,9.0
2018-01-17,8.0
2018-01-18,8.0
2018-01-19,11.0
2018-01-20,11.0
2018-01-21,9.0
2018-01-22,12.0
2018-01-23,10.0
2018-01-24,13.0
2018-01-25,12.0
2018-01-26,10.0
2018-01-27,9.0
2018-01-28,10.0
2018-01-29,11.0
2018-01-30,9.0
2018-01-31,10.0
2018-02-01,13.0
2018-02-02,13.0
2018-02-03,13.0
2018-02-04,10.0
2018-02-05,8.0
2018-02-06,8.0
2018-02-07,9.0
2018-02-08,8.0
2018-02-09,6.0
2018-02-10,7.0
2018-02-11,8.0
2018-02-12,9.0
2018-02-13,14.0
2018-02-14,12.0
2018-02-15,10.0
2018-02-16,13.0
2018-02-17,10.0
2018-02-18,5.0
2018-02-19,4.0
2018-02-20,5.0
2018-02-21,7.0
2018-02-22,6.0
2018-02-23,7.0
2018-02-24,6.0
2018-02-25,6.0
2018-02-26,7.0
2018-02-27,7.0
2018-02-28,7.0
2018-03-01,9.0
2018-03-02,9.0
2018-03-03,7.0
2018-03-04,7.0
2018-03-05,7.0
2018-03-06,13.0
2018-03-07,13.0
2018-03-08,15.0
2018-03-09,9.0
2018-03-10,6.0
2018-03-11,4.0
2018-03-12,4.0
2018-03-13,6.0
2018-03-14,7.0
2018-03-15,8.0
2018-03-16,
2018-03-17,
2018-03-18,
2018-03-19,
2018-03-20,7.0
2018-03-21,11.0
2018-03-22,7.0
2018-03-23,5.0
2018-03-24,8.0
2018-03-25,8.0
2018-03-26,10.0
2018-03-27,16.0
2018-03-28,18.0
2018-03-29,16.0
2018-03-30,19.0
2018-03-31,9.0
2018-04-01,14.0
2018-04-02,11.0
2018-04-03,14.0
2018-04-04,20.0
2018-04-05,15.0
2018-04-06,16.0
2018-04-07,13.0
2018-04-08,10.0
2018-04-09,8.0
2018-04-10,9.0
2018-04-11,5.0
2018-04-12,11.0
2018-04-13,16.0
2018-04-14,23.0
2018-04-15,29.0
2018-04-16,20.0
2018-04-17,15.0
2018-04-18,19.0
2018-04-19,
2018-04-20,31.0
2018-04-21,27.0
2018-04-22,18.0
2018-04-23,16.0
2018-04-24,26.0
2018-04-25,30.0
2018-04-26,20.0
2018-04-27,16.0
2018-04-28,31.0
2018-04-29,31.0
2018-04-30,43.0
2018-05-01,39.0
2018-05-02,24.0
2018-05-03,24.0
2018-05-04,31.0
2018-05-05,31.0
2018-05-06,12.0
2018-05-07,17.0
2018-05-08,19.0
2018-05-09,35.0
2018-05-10,33.0
2018-05-11,33.0
2018-05-12,38.0
2018-05-13,17.0
2018-05-14,20.0
2018-05-15,24.0
2018-05-16,36.0
2018-05-17,23.0
2018-05-18,19.0
2018-05-19,25.0
2018-05-20,33.0
2018-05-21,19.0
2018-05-22,25.0
2018-05-23,44.0
2018-05-24,61.0
2018-05-25,74.0
2018-05-26,63.0
2018-05-27,87.0
2018-05-28,68.0
2018-05-29,12.0
2018-05-30,25.0
2018-05-31,21.0
2018-06-01,53.0
2018-06-02,89.0
2018-06-03,66.0
2018-06-04,31.0
2018-06-05,
2018-06-06,36.0
2018-06-07,37.0
2018-06-08,63.0
2018-06-09,30.0
2018-06-10,9.0
2018-06-11,32.0
2018-06-12,47.0
2018-06-13,26.0
2018-06-14,38.0
2018-06-15,45.0
2018-06-16,44.0
2018-06-17,36.0
2018-06-18,34.0
2018-06-19,44.0
2018-06-20,28.0
2018-06-21,24.0
2018-06-22,46.0
2018-06-23,41.0
2018-06-24,76.0
2018-06-25,57.0
2018-06-26,62.0
2018-06-27,40.0
2018-06-28,28.0
2018-06-29,49.0
2018-06-30,51.0
2018-07-01,39.0
2018-07-02,64.0
2018-07-03,36.0
2018-07-04,26.0
2018-07-05,11.0
2018-07-06,29.0
2018-07-07,26.0
2018-07-08,21.0
2018-07-09,53.0
2018-07-10,28.0
2018-07-11,27.0
2018-07-12,19.0
2018-07-13,23.0
2018-07-14,18.0
2018-07-15,10.0
2018-07-16,12.0
2018-07-17,14.0
2018-07-18,13.0
2018-07-19,22.0
2018-07-20,25.0
2018-07-21,33.0
2018-07-22,14.0
2018-07-23,25.0
2018-07-24,33.0
2018-07-25,27.0
2018-07-26,32.0
2018-07-27,22.0
2018-07-28,24.0
2018-07-29,18.0
2018-07-30,18.0
2018-07-31,18.0
2018-08-01,26.0
2018-08-02,31.0
2018-08-03,29.0
2018-08-04,16.0
2018-08-05,32.0
2018-08-06,34.0
2018-08-07,15.0
2018-08-08,16.0
2018-08-09,19.0
2018-08-10,23.0
2018-08-11,20.0
2018-08-12,19.0
2018-08-13,11.0
2018-08-14,13.0
